2018-04-13 16:42:05,274 [1] INFO  WebCrawler.Program - 文章采集系统开始...
 WebCrawler.Programname2018-04-13 16:42:06,458 [4] INFO  WebCrawler.DoMain.Crawler - 采集开始***************************
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:08,105 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:08,126 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React小知识??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:08,173 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:09,012 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/csdn_girl/article/details/78785313
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:09,042 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React.js??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:09,765 [4] ERROR WebCrawler.DoMain.Crawler - 【React】采集异常,对一个或多个实体的验证失败。有关详细信息，请参阅“EntityValidationErrors”属性。
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:10,240 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React开篇??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:10,259 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative网络状态解析及封装??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:10,708 [4] ERROR WebCrawler.DoMain.Crawler - 【React】采集异常,对一个或多个实体的验证失败。有关详细信息，请参阅“EntityValidationErrors”属性。
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,067 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记_动态注入reducer??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,090 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记_基于Cookie的登录认证??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,203 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React初学笔记??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,260 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:前端框架Vue、angular、React的优点和缺点??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,311 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:Angular、React、Vue.js等6大主流Web框架都有什么优缺点？??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,510 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/milyoo/article/details/79068199
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,579 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React项目配置7(ES7的Async/Await的使用)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,600 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React.js,Angular.js,Vue.js三个框架哪个好??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,644 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React项目配置6(前后端分离如何控制用户权限)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:11,670 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative开发工具推荐——VSCode及常用常用插件详解??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:15,208 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactRouter详解??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:15,300 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:2018年，React将独占前端框架鳌头？??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:15,320 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-routerV4中Link组件的坑??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:15,341 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React的项目创建??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:15,751 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative用CodePush实现热更新(二)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:16,019 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/brand2014/article/details/79060854
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:16,774 [4] ERROR WebCrawler.DoMain.Crawler - 【React】采集异常,对一个或多个实体的验证失败。有关详细信息，请参阅“EntityValidationErrors”属性。
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,460 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/yuzhongzi81/article/details/79089122
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,672 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/anxin_wang/article/details/79093581
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,697 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactRouter详解??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,715 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:2018年，React将独占前端框架鳌头？??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,753 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-routerV4中Link组件的坑??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,773 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React的项目创建??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,793 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React应用架构设计??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,902 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:Angular、React、Vue.js等6大主流Web框架都有什么优缺点？??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,943 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:开始一个React项目（三）路由基础（v4）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:17,963 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:2017年JavaScript框架回顾--React生态系统??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,290 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:小花-常用React组件库??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,331 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactRouter学习笔记(1)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,615 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/hejiasu/article/details/79227058
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,770 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/marko_zheng/article/details/79215007
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,812 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React中staterender到htmldom的流程分析??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,838 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:基于React的适配PC端和移动端的轻量音乐播放器??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,886 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React中staterender到htmldom的流程分析??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,907 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-Native布局实战??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:18,927 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-Native学习笔记——技术栈及简介??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,249 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/anxin_wang/article/details/79085343
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,594 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React项目配置3(如何管理项目API接口)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,641 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React顶级API详解??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,663 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React第三方组件1(路由管理之Router的使用②多层级跳转及重定向)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,683 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react登录跳转问题整理??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,728 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative--JSX语法??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,788 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactRouterv4??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,813 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—8.条件渲染??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,860 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:我们编写React组件的最佳实践??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,883 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative开发中常用三方组件库??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:19,931 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:一个例子来谈react的优势??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,274 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:Meteor+React学习文档汇总??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,309 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react-native运行ios报错总结??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,330 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:小花-常用React组件库??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,348 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:全球开发者调查：JavaScript成最爱，还最喜欢用React??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,388 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactRouter学习笔记(1)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,677 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/hejiasu/article/details/79227058
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,965 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/marko_zheng/article/details/79215007
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:20,988 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React.js组件化开发第一步(框架搭建)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,027 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:reacti18n实现国际化??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,048 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React中staterender到htmldom的流程分析??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,423 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:如何开发可重用的React组件??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,442 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:基于React的适配PC端和移动端的轻量音乐播放器??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,492 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React中staterender到htmldom的流程分析??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,513 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—3.JSX简介??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,564 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-Native布局实战??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,585 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-Native学习笔记——技术栈及简介??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:21,984 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/anxin_wang/article/details/79085343
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:22,253 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/zhufan2333/article/details/78962423
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:22,290 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—2.HelloWorld??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:22,318 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记——基础??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:23,054 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/shu_lance/article/details/79198981
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:23,084 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react学习笔记??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:23,129 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative中的导航器怎么选？??-?CSDN博客
