2017-12-07 08:36:04,366 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-12-07 08:36:05,242 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:06,930 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-06 16:22新兴产业强劲需求助推稀土业发展
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,039 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-06 16:15日立金属签订基本协议收购三德公司
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,152 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-06 13:31河钢承钢航空级片钒产线通过美国钛合金企业认证
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,283 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-06 13:29加快稀土及稀贵金属等战略金属二次资源循环利用科技创新与成果转化
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,392 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-06 13:26经阁铝业成功发明一种新的铝渣快速处理与回收工艺及设备
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,499 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-05 14:04“青能Ⅰ号”固态锂电池系统完成万米海试
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,604 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-05 14:00中铝股份青海分公司1235铝箔试制取得阶段性成果
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,707 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-05 13:59葫芦岛有色获2017年度中国铅锌行业践行社会责任优秀奖
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,817 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-05 10:50中国铝业4家下属公司欲债转股：拟引8家机构共增资126亿
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:07,922 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-04 13:54波音公司投资纳米陶瓷颗粒增强铝
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,093 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-04 13:51发祥铝业脱硫改造项目顺利通过环保验收
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,201 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-04 10:14中国消费全球超四成锂 中企南美争夺锂资源
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,311 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-01 16:21宝山矿业公司开始销售稀土精矿
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,426 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-01 12:40研究人员为镁离子电池找到了一种高效的固态电解质
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,541 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-01 12:38高纯度稀土精矿从煤炭中成功提取
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:08,649 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:12-01 12:35特斯拉建全球最大锂电池储能系统 可支持3万户家庭用电
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:09,682 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 15:09商务部研究赋予自贸港建设地更大改革自主权
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:09,788 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 15:08工信部将持续完善集成电路产业政策
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:09,891 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 15:08环保部将针对重点行业开展机动式环保专项督察
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,100 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 15:07发改委明确稳定实体经济的着力点
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,290 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 14:52?国家能源集团正式成立
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,424 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 13:14美国科学家从煤炭中提炼出高纯度稀土
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,537 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:17中国铝业氧化铝企业发布大能源管理创新成果
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,734 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:15广西南南铝加工有限公司获认定为2017年度国家技术创新示范企业
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,864 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:13中铝西南铝两家单位新产品开发的战果
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,993 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:07东兴铝业生产出纯度达99.90%的高纯铝
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,101 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:03产学研推动“重庆造”镁合金产品成果转化
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,209 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:00神雾两项节能低碳技术亮相中乌科技创新展
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,339 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-29 14:42内科大有关轻稀土重点实验室通过验收
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,451 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-29 14:11南方稀土集团11月27日中重稀土挂牌价
